class,subject_16,subject_17,subject_18,subject_19
class_1,20,13,14,8
class_2,19,14,19,18
class_3,14,19,14,21
class_4,20,20,20,19
class_5,14,19,19,20
class_6,18,20,20,19
class_7,19,19,13,19
class_8,21,6,20,20
class_9,21,19,19,20
class_10,20,19,19,7
class_11,18,14,20,20
class_12,14,20,20,20
class_13,20,19,19,20
class_14,14,19,21,14
class_15,19,14,14,19
class_16,14,19,20,21
class_17,19,19,20,19
class_18,20,20,21,21
class_19,19,20,20,14
class_20,20,8,20,18
class_21,20,20,20,13
class_22,20,14,19,19
class_23,6,19,14,20
class_24,14,20,21,20
class_25,19,18,19,12
class_26,14,13,13,19
class_27,19,19,13,20
class_28,14,20,13,20
class_29,20,13,19,21
class_30,14,21,20,19
class_31,20,19,15,18
class_32,20,20,20,13
class_33,18,19,19,20
class_34,14,20,20,14
class_35,20,20,20,13
class_36,20,8,20,21
class_37,20,13,20,19
class_38,19,21,14,20
class_39,20,19,13,19
class_40,7,21,20,13
class_41,19,19,18,19
class_42,19,21,20,21
class_43,20,21,20,18
class_44,19,13,13,18
class_45,20,20,19,13
class_46,18,13,18,14
class_47,12,20,20,13
class_48,20,19,18,21
class_49,20,20,21,20
class_50,21,14,18,20
class_51,19,18,18,13
class_52,19,20,19,21
class_53,14,20,19,19
class_54,20,20,20,20
class_55,20,19,20,18
class_56,19,19,13,19
class_57,20,18,13,19
class_58,19,14,19,12
class_59,18,19,21,20
class_60,13,19,20,13
class_61,20,20,13,19
class_62,13,20,13,13
class_63,19,20,14,20
class_64,20,20,14,21
class_65,14,21,19,19
class_66,7,20,21,20
class_67,20,19,18,19
class_68,20,13,14,14
class_69,2,21,13,14
class_70,19,12,19,20
class_71,20,21,19,21
class_72,19,19,19,19
class_73,19,19,20,21
class_74,20,12,19,19
